project_id,ipc,total_images,internal_count,external_count,other_count,school_name,project_name,division,region
1009688,INF-05-2024-00438,7,3,4,0,Malalag CES,Conservation and Restoration of Gabaldon School Building,DAVAO DEL SUR,REGION XI
1000280,INF-06-2024-00148,7,4,3,0,San Juan CS (Kalayaan),Construction of 1 Storey Library Hub Building (22.50m x 9.50m),LAGUNA,REGION IV-A
1000388,INF-02-2024-00890,7,4,3,0,Lusot Elementary School,Repair / Rehabilitation of Classrooms,MISAMIS OCCIDENTAL,REGION X
1009679,INF-01-2025-01763,7,4,3,0,Bato NHS,Construction of  1STY3CL and 2STY12CL,DAVAO DEL SUR,REGION XI
1000624,INF-11-2024-00638,7,5,2,0,Mahatao NHS,REPAIR OF CLASSROOMS,BATANES,REGION II
1000539,INF-04-2024-00484,7,4,3,0,Bamban National High School,Construction of School Clinic,ZAMBALES,REGION III
1000230,INF-06-2024-00131,6,3,3,0,Passi I Central School,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),PASSI CITY,REGION VI
1009798,INF-01-2024-02598,6,3,3,0,Roberta de Jesus Elementary School,4STY8CL,VALENZUELA CITY,NCR
1000516,INF-01-2024-01797,6,3,3,0,J.P. Laurel ES,3STY9CL,DAVAO CITY,REGION XI
1009681,INF-02-2025-01420,6,3,3,0,Masablang Elementary School,Repair / Rehabilitation of Classrooms,TABUK CITY,CAR
1000159,INF-12-2024-00982,6,2,4,0,Baluarte ES,Electrification of Un-Energized Schools and Modernization of Electrical Systems of On-Grid Schools,SANTIAGO CITY,REGION II
1009797,INF-01-2024-02598,6,3,3,0,Roberta de Jesus Elementary School,4STY8CL,VALENZUELA CITY,NCR
1000165,INF-01-2024-01810,6,5,1,0,San Antonio Elementary School,2STY12CL,ISLAND GARDEN CITY OF SAMAL,REGION XI
1009663,INF-02-2026-00002,6,2,4,0,Pag-asa NHS,"REPAIR OF CLASSROOM AT PAG-ASA NATIONAL HIGH SCHOOL, BANSUD, ORIENTAL MINDORO ",ORIENTAL MINDORO,MIMAROPA
1009864,INF-02-2024-02076,6,1,5,0,Tiguis ES,Repair of Classrooms,BOHOL,REGION VII
1000605,INF-01-2024-01289,6,3,3,0,Dasmarinas North National High School (Annex G),4STY16CL,DASMARINAS CITY,REGION IV-A
1009868,INF-02-2024-01926,6,1,5,0,Malinao ES,Repair of Classrooms,BOHOL,REGION VII
1009744,INF-01-2026-01176,6,2,4,0,Cocob ES,CONSTRUCTION OF 1 STOREY 2 CLASSROOMS,ZAMBOANGA DEL NORTE,REGION IX
1009779,INF-02-2024-02148,6,3,3,0,La Libertad CS,Repair / Rehabilitation of Classrooms,ZAMBOANGA DEL NORTE,REGION IX
1000625,INF-11-2024-00685,6,3,3,0,Mahatao Elementary School,REPAIR OF CLASSROOMS,BATANES,REGION II
1000194,INF-02-2025-00981,6,1,5,0,Upland ES,Repair / Rehabilitation of Classrooms,CARCAR CITY,REGION VII
1009993,INF-04-2025-00002,6,2,4,0,Antequera Central Elementary School,1 STOREY BUILDING,BOHOL,REGION VII
1009943,INF-12-2024-00999,6,6,0,0,BAGTAYAN ELEMENTARY SCHOOL,Energization of Electrical System (Overhead System),KALINGA,CAR
1000627,INF-02-2024-00547,6,3,3,0,Itbud Integrated School,Repair of Classrooms,BATANES,REGION II
