id,school_id,iern,batches_name,year_received,sources_fund,ecart_laptops,ecart_tablets,ecart_tv,charging_condition,remarks,created_at
2100,305129,2026-00997,Batch 42,2019,DepEd (DCP),0,50,0,Functional,,2026-04-10 06:29:05.113160+00:00
5153,301853,2026-23390,2019-02,2019,DepEd (DCP),51,0,1,Functional,"BROTHER PRINTER, TP LINK ROUTER",2026-04-15 01:22:49.160601+00:00
1483,106816,2026-15847,eLearning Cart Package ,2015,DepEd (DCP),1,0,0,Non-Functional,,2026-04-09 16:04:53.307074+00:00
1584,500637,2026-05427,54E,2024,DepEd (DCP),46,0,1,Functional,,2026-04-10 01:54:58.484408+00:00
1489,304231,2026-43254,eLearning Cart Package,2024,DepEd (DCP),46,0,1,Functional,Router & External Hard Drive,2026-04-09 17:16:37.037752+00:00
1485,300581,2026-12039,DCP 2023,2024,DepEd (DCP),46,0,1,Functional,"Headphones, bags, mouse",2026-04-09 16:41:48.332533+00:00
1486,300581,2026-12039,DCP 2019,2021,DepEd (DCP),0,50,1,Functional,"Router, headphones, mouse",2026-04-09 16:41:48.339690+00:00
1490,500889,2026-19674,2022 ELC,2022,DepEd (DCP),46,0,1,Functional,,2026-04-09 18:07:13.231320+00:00
3476,302212,2026-26162,batch 2025,2025,DepEd (DCP),99,0,5,Functional,in good condition,2026-04-13 07:19:17.712819+00:00
3477,126244,2026-22848,Batch 19,2016,DepEd (DCP),1,0,0,Non-Functional,,2026-04-13 07:19:19.413628+00:00
1512,307912,2026-18227,ecart package 2022,2022,DepEd (DCP),46,0,1,Functional,,2026-04-09 23:18:49.811302+00:00
1513,300181,2026-09405,Batch ,2024,DepEd (DCP),46,0,1,Functional,,2026-04-09 23:19:58.171155+00:00
1494,321402,2026-16450,2019,2020,DepEd (DCP),0,50,3,Functional,"ROUTER, EXTERNAL HDD",2026-04-09 20:03:45.099628+00:00
1495,321402,2026-16450,2022,2024,DepEd (DCP),46,0,1,Functional,"ROUTER, EXTERNAL HDD",2026-04-09 20:03:45.106407+00:00
1493,305513,2026-43442,Batch 22,2024,DepEd (DCP),56,0,1,Functional,,2026-04-09 19:55:48.681675+00:00
1480,312918,2026-33745,Batch 2024-1,2024,DepEd (DCP),50,0,1,Functional,,2026-04-09 15:43:48.808718+00:00
1569,310201,2026-26477,Batch 2019-01,2019,DepEd (DCP),1,50,0,Non-Functional,All units are broken,2026-04-10 01:18:30.240380+00:00
1570,310201,2026-26477,Batch 2019-1,2019,DepEd (DCP),1,50,0,Non-Functional,"All units, inclding the laptop,  are broken",2026-04-10 01:18:30.655344+00:00
1499,120059,2026-33726,Batch 26,2016,DepEd (DCP),1,0,0,Functional,,2026-04-09 22:35:27.311507+00:00
1500,120059,2026-33726,Batch 40,2018,DepEd (DCP),1,0,0,Functional,,2026-04-09 22:35:27.317551+00:00
2063,301572,2026-04821,Batch 2022,2024,DepEd (DCP),46,0,1,Functional,"TP-Link Archer AX12
TSDI charging cart
Silicon Power Armor A60
",2026-04-10 06:14:50.755616+00:00
1473,303068,2026-32252,(DCP) Package 1 - e-Learning Cart (eLC) ,2025,DepEd (DCP),46,0,1,Functional,,2026-04-09 15:10:40.063776+00:00
1479,301481,2026-19573,Batch 45,2024,DepEd (DCP),46,0,1,Functional,,2026-04-09 15:33:03.003821+00:00
1998,301686,2026-06191,eLearning cart Package,2024,DepEd (DCP),46,0,0,Functional,"46 sets of pc mouse, headset, backpack bag ",2026-04-10 05:25:28.423835+00:00
1503,500480,2026-10451,DCP Batch 2022,2022,DepEd (DCP),46,0,0,Functional,,2026-04-09 23:02:34.654250+00:00
1504,301634,2026-05496,2023,2023,DepEd (DCP),46,0,2,Functional,,2026-04-09 23:08:37.893493+00:00
2128,501160,2026-40722,Batch 2024,2024,DepEd (DCP),46,0,6,Functional,"Router, Headphone, Mouse, Mouse pad, Bags",2026-04-10 06:56:25.345101+00:00
1311,111485,2026-06674,Batch7,2016,DepEd (DCP),0,0,0,Non-Functional,"Interactive board, mouses",2026-04-09 05:49:54.474873+00:00
1506,301479,2026-19600,Batch 44,2018,DepEd (DCP),0,50,0,Non-Functional,,2026-04-09 23:17:12.963947+00:00
1507,301479,2026-19600,BATCH 2019-03,2021,DepEd (DCP),1,50,0,Non-Functional,,2026-04-09 23:17:12.968834+00:00
