id,school_id,iern,batches_name,year_received,sources_fund,ecart_laptops,ecart_tablets,ecart_tv,charging_condition,remarks,created_at
1075,302833,2026-31141,Batch 42,2022,DepEd (DCP),46,0,1,Functional,"Headphones, Router",2026-04-08 14:11:30.086046+00:00
165,500086,2026-11996,42,2023,DepEd (DCP),41,0,1,Functional,,2026-04-06 13:23:51.053319+00:00
7118,303326,2026-34769,Batch 2022-01,2024,DepEd (DCP),46,0,0,Functional,"Some Dell Laptops need to be permanently plug-in to use. 
battery issues",2026-04-20 11:34:59.035963+00:00
1973,309612,2026-23537,Batch,2025,DepEd (DCP),46,0,0,Functional,,2026-04-10 05:08:26.012167+00:00
474,301768,2026-06421,Batch 2019-02,2021,DepEd (DCP),18,0,0,Functional,,2026-04-07 07:39:28.280113+00:00
475,301768,2026-06421,Batch 2018-01,2019,DepEd (DCP),0,25,0,Functional,,2026-04-07 07:39:28.284850+00:00
66,150021,2026-07744,DCP 2025 Packages(Laptop For Teaching(LAT)Lot 2,2025,DepEd (DCP),5,1,1,Functional,,2026-04-03 14:11:13.084732+00:00
323,302915,2026-31885,2022,2024,DepEd (DCP),46,0,0,Functional,Mouse,2026-04-07 05:44:34.293530+00:00
476,301768,2026-06421,Batch 36,2018,DepEd (DCP),4,0,0,Functional,,2026-04-07 07:39:28.289586+00:00
101,999881,999881,2,2024,DepEd (DCP),11,1,1,Functional,,2026-04-06 05:24:10.184353+00:00
477,301768,2026-06421,Batch 2024-01,2024,DepEd (DCP),46,0,0,Functional,,2026-04-07 07:39:28.295423+00:00
70,100271,2026-07920,Batch 2024-01 (E-LEARNING CART PACKAGE),2024,DepEd (DCP),46,0,1,Functional,"Routers, wireless mouse, mouse pad, headset, laptop bags",2026-04-03 14:36:14.867146+00:00
102,309162,2026-05356,35,2019,DepEd (DCP),1,0,0,Functional,"DVD writers, Head set router",2026-04-06 05:29:20.589090+00:00
1831,500053,2026-10114,DEPED LOT 1: IT PACKAGE (E-TEXTBOOK),2019,DepEd (DCP),0,50,0,Functional,"1 ROUTER, 50 MOUSE,  50HEADSETS",2026-04-10 03:52:45.705262+00:00
105,306119,2026-11680,Batch 43,2018,DepEd (DCP),5,0,0,Functional,Headphones,2026-04-06 06:19:39.800443+00:00
7119,303326,2026-34769,Batch 2023-01,2024,DepEd (DCP),46,0,0,Functional,All Lenovo Laptops In Good Condition,2026-04-20 11:34:59.042180+00:00
1117,301679,2026-06079,Batch 35,2022,DepEd (DCP),46,0,1,Functional,"Silicon Power Armor A60, Router, Projector,Speaker,UPS, AVR",2026-04-08 22:02:57.225654+00:00
495,136689,2026-07271,DCP Packages 2024,2024,DepEd (DCP),46,0,1,Functional,,2026-04-07 07:49:32.294428+00:00
127,305941,2026-11504,Batch 2023-03,2024,DepEd (DCP),5,0,0,Functional,,2026-04-06 07:37:27.206199+00:00
7121,306207,2026-12496,Batch 2019-03,2020,DepEd (DCP),1,50,0,Functional,,2026-04-20 11:45:49.795308+00:00
7280,305096,2026-00515,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,,2026-04-21 04:31:29.578418+00:00
634,501614,2026-12807,DCP2022,2024,DepEd (DCP),51,0,1,Functional,Headphones,2026-04-07 12:09:48.095906+00:00
104,306115,2026-12168,2023,2024,DepEd (DCP),103,0,2,Functional,,2026-04-06 05:35:13.815067+00:00
90,300576,2026-11333,Batch 2019-03,2021,DepEd (DCP),0,50,0,Non-Functional,,2026-04-06 04:05:21.230549+00:00
5303,317520,2026-03058,Batch 2022-01,2022,DepEd (DCP),46,0,1,Functional,"Router, Charging station, external drive",2026-04-15 03:13:19.465404+00:00
1098,321802,2026-26740,FY 2022 eLearning Cart Secondary,2024,DepEd (DCP),1,50,0,Functional,"external hard drive, wireless router",2026-04-08 15:28:39.821844+00:00
110,104374,2026-12745,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,"Routers, external hard drive",2026-04-06 06:44:20.482139+00:00
87,305832,2026-11881,black,2023,DepEd (DCP),50,0,1,Functional,"Router, Mouse, headset",2026-04-06 04:02:15.107299+00:00
88,305832,2026-11881,blue,2022,DepEd (DCP),51,0,1,Functional,"Router,headphone, mouse",2026-04-06 04:02:15.114587+00:00
89,305832,2026-11881,HE DCP,2026,DepEd (DCP),3,0,1,Functional,"Mouse,headset",2026-04-06 04:02:15.120866+00:00
5304,317520,2026-03058,Batch 2023-01,2023,DepEd (DCP),46,0,1,Functional,"Router, charging station , silicon power armor",2026-04-15 03:13:19.474343+00:00
1046,109559,2026-19502,Batch 23,2024,DepEd (DCP),4,0,5,Functional,,2026-04-08 13:28:28.045922+00:00
7392,316011,2026-42109,Batch,2024,DepEd (DCP),47,0,1,Functional,,2026-04-21 23:03:18.343880+00:00
139,305145,2026-01191,Batch 2023-01,2022,DepEd (DCP),46,0,1,Functional,,2026-04-06 08:24:35.312006+00:00
100,156507,2026-12689,Batch 44,2024,DepEd (DCP),44,0,0,Functional,,2026-04-06 04:52:05.734218+00:00
7460,301614,2026-05300,Batch 2018,2018,DepEd (DCP),0,50,1,Functional,,2026-04-22 13:40:08.731255+00:00
5346,302792,2026-30590,2023-01 E-Learning Package,2024,DepEd (DCP),46,0,1,Functional,"Wireless Routers 2pcs, External HDD 1pc",2026-04-15 03:46:55.436818+00:00
5354,500066,2026-11297,DCP-2024 BATCH 1,2024,DepEd (DCP),48,0,1,Functional,Other accessories are no longer working,2026-04-15 03:57:16.215275+00:00
5355,500066,2026-11297,DCP 2024 STV,2024,DepEd (DCP),0,0,4,Functional,,2026-04-15 03:57:16.225939+00:00
1428,101499,2026-09279,Batch 40,2018,DepEd (DCP),1,0,0,Functional,,2026-04-09 13:24:00.694005+00:00
1429,101499,2026-09279,DCP Batch 2020 Multimedia Classroom Package,2021,DepEd (DCP),4,0,0,Functional,,2026-04-09 13:24:00.698570+00:00
1430,101499,2026-09279,DCP 2024,2024,DepEd (DCP),5,0,0,Functional,,2026-04-09 13:24:00.703727+00:00
59,320808,2026-07747,e-Learning Package,2024,DepEd (DCP),26,0,1,Functional,"Routers, Headset, Laptop Bags, Wireless Mouse and Mouse Pad",2026-04-01 08:39:49.687807+00:00
58,102889,2026-11028,2018-01(E-Textbooks),2019,DepEd (DCP),1,50,0,Functional,5 are non functional ,2026-04-01 08:38:27.733255+00:00
111,300554,2026-11770,Batch 2022 elearning cart package,2024,DepEd (DCP),46,0,1,Functional,Need additional laptops,2026-04-06 07:10:47.001031+00:00
130,309402,2026-06774,BATCH 2024,2024,DepEd (DCP),46,0,1,Functional,,2026-04-06 07:48:25.508906+00:00
120,104381,2026-12751,Batch 01,2024,DepEd (DCP),51,0,1,Functional,,2026-04-06 07:25:58.295767+00:00
123,306421,2026-10867,Batch 2022-1,2022,DepEd (DCP),46,0,1,Functional,"2 Modem Router, 2 charging cart, 1 external hard drive",2026-04-06 07:36:06.739670+00:00
124,306421,2026-10867,eTextbooks Batch 2019,2019,DepEd (DCP),0,50,0,Functional,,2026-04-06 07:36:06.747668+00:00
125,306421,2026-10867,Junior High School ICT Package Batch 2016,2016,DepEd (DCP),0,0,0,Non-Functional,None,2026-04-06 07:36:06.751781+00:00
126,306421,2026-10867,Senior High School ICT Package Batch 2018 (Desktop),2018,DepEd (DCP),0,0,0,Non-Functional,Computer Bundle Set,2026-04-06 07:36:06.757149+00:00
137,118611,2026-31649,26,2020,DepEd (DCP),6,0,0,Functional,Routers,2026-04-06 08:05:29.602280+00:00
143,300572,2026-11835,2022-01,2024,DepEd (DCP),46,0,1,Functional,"external hard drive, flash drive, router",2026-04-06 09:10:31.418914+00:00
148,301776,2026-06587,BATCH 47,2024,DepEd (DCP),46,0,2,Functional,2 ROUTERS,2026-04-06 09:28:05.310661+00:00
157,501927,2026-41388,2024,2024,DepEd (DCP),46,0,1,Functional,"1 router, 1 hard drive",2026-04-06 10:53:24.692016+00:00
156,309007,2026-05471,DCP 2024,2024,DepEd (DCP),46,0,1,Functional,"Router, headphone, mouse",2026-04-06 10:23:43.147969+00:00
162,301777,2026-06380,Batch 2022-01 laptop HP 245 G9,2024,DepEd (DCP),46,0,1,Functional,"routers ,headphones",2026-04-06 12:18:15.345026+00:00
1974,502134,2026-04348,Batch 2024-01,2024,DepEd (DCP),46,0,1,Functional,"Routers, Head set, chargers, mouse & mouse pad",2026-04-10 05:09:17.913729+00:00
222,307812,2026-20280,DCP Package,2024,DepEd (DCP),46,0,0,Functional,"Mouse, router, headset, Smart TV",2026-04-07 03:16:01.504678+00:00
163,501315,2026-11682,08-2024-E-LC-THINKPAD LENOVO,2024,DepEd (DCP),51,0,0,Non-Functional,"Chargers, mouse",2026-04-06 12:26:15.352196+00:00
1099,136783,2026-07402,Batch 40,2018,DepEd (DCP),1,0,0,Functional,,2026-04-08 15:35:19.561020+00:00
635,304246,2026-42016,Batch 44,2017,DepEd (DCP),46,0,0,Functional,,2026-04-07 12:12:48.836131+00:00
320,322701,2026-10371,DCP Batch 2018-01,2019,DepEd (DCP),1,50,0,Non-Functional,"2 units charging/storage cart (unserviceable)
1 unit wireless router: Lynksys EA7500",2026-04-07 05:42:04.204049+00:00
324,500062,2026-10503,Batch 2023-1,2023,DepEd (DCP),46,0,1,Functional,"2 routers, 2 carts, ",2026-04-07 05:46:53.451598+00:00
158,300550,2026-11372,Batch 42 ,2022,DepEd (DCP),46,0,1,Functional,,2026-04-06 11:25:04.324142+00:00
1100,136783,2026-07402,Batch 31,2017,DepEd (DCP),2,0,2,Functional,,2026-04-08 15:35:19.567418+00:00
1101,136783,2026-07402,Batch 29,2016,DepEd (DCP),1,0,0,Functional,,2026-04-08 15:35:19.572761+00:00
336,301195,2026-17588,Batch 2024-01,2024,DepEd (DCP),46,0,1,Functional,"Routers, headphones, charging ecart, external hard drive, flash drive",2026-04-07 05:57:06.792076+00:00
161,306109,2026-12132,Batch ,2024,DepEd (DCP),51,0,1,Functional,"Routers, Adaptors, chargers",2026-04-06 12:07:18.501310+00:00
182,111397,2026-06542,Batch 14-2013,2013,DepEd (DCP),0,0,0,Non-Functional,"Classroom    Management    Software Net Support School
NComputing U170
DLink  USB  Powered  Hub  7port  w/
power adapter
Monitor, Keyboard, Mouse, UPS, Projector, Document cameras / Visualizers, Promethean ActivBoard, Printer",2026-04-07 01:51:34.561590+00:00
183,111397,2026-06542,Batch 29-2016,2016,DepEd (DCP),1,0,0,Non-Functional,"Projector
Projector Screen, Speakers
",2026-04-07 01:51:34.565500+00:00
184,111397,2026-06542,Batch 29,2015,DepEd (DCP),0,0,11,Non-Functional,Printer,2026-04-07 01:51:34.570881+00:00
186,306133,2026-11543,DCP2022 Batch 1,2024,DepEd (DCP),46,0,1,Functional,"Router, storage cart, external hard drive",2026-04-07 01:58:55.216290+00:00
5131,500303,2026-45663,batch 44,2024,DepEd (DCP),46,0,0,Functional,2 charging base,2026-04-15 00:49:42.016221+00:00
239,306070,2026-17727,Package 1 e-Learning Cart,2023,DepEd (DCP),46,0,1,Functional,With 2 Wireless routers and 1 External Hard Drive,2026-04-07 03:33:02.489175+00:00
5309,301966,2026-24105,BATCH 22,2024,DepEd (DCP),46,0,1,Functional,,2026-04-15 03:14:25.385003+00:00
3531,314208,2026-21912,e-textbook FY2018,2018,DepEd (DCP),0,50,0,Non-Functional,"1 router - unserviceable
1 laptop - unserviceable",2026-04-13 07:41:37.576784+00:00
168,502269,2026-12788,DCP,2022,DepEd (DCP),51,0,1,Functional,"Mouse, Routers, Headphones, Bag",2026-04-06 14:33:18.161141+00:00
192,305942,2026-12156,eLC 2023,2024,DepEd (DCP),46,0,1,Functional,,2026-04-07 02:03:21.849166+00:00
193,100152,2026-07775,Batch 2024-01,2024,DepEd (DCP),46,0,1,Functional,"Mouse, laptop bags, headphone, charging station, mouse pad",2026-04-07 02:08:40.288824+00:00
194,302832,2026-31264,ELEARNING CART PACKAGE,2024,DepEd (DCP),46,0,1,Functional,TP LINK WIRELESS ROUTER/ HARDDRIVE,2026-04-07 02:31:28.181989+00:00
1119,304310,2026-42474,eLearning Cart Package,2024,DepEd (DCP),46,0,0,Functional,"bag, mouse, mouse pad",2026-04-08 22:19:51.386055+00:00
656,108468,2026-18193,SMART TV PACKAGE 2025,2025,DepEd (DCP),0,0,5,Functional,,2026-04-07 13:44:39.752988+00:00
172,104385,2026-12774,Batch 2018 E-Textbook,2018,DepEd (DCP),1,50,0,Functional,"Router, Headphones",2026-04-07 01:11:46.976594+00:00
314,323602,2026-16623,DCP2024,2024,DepEd (DCP),46,0,1,Functional,,2026-04-07 05:35:18.347829+00:00
7120,302310,2026-26976,44,2024,DepEd (DCP),55,0,1,Functional,,2026-04-20 11:35:12.971561+00:00
200,103123,2026-11451,Batch 40,2018,DepEd (DCP),1,0,0,Non-Functional,Projector,2026-04-07 02:38:35.862302+00:00
201,103123,2026-11451,Batch 26,2015,DepEd (DCP),0,0,0,Non-Functional,None,2026-04-07 02:38:35.865810+00:00
202,309208,2026-06502,Batch 2022-01:ELearning cart package,2024,DepEd (DCP),46,0,1,Functional,4 Boxes Routers & Ext. Drive,2026-04-07 02:43:19.356286+00:00
1076,301486,2026-19670,Batch 2022-01:ELEARNING CART PCKAGE,2024,DepEd (DCP),46,0,1,Functional,,2026-04-08 14:12:39.634311+00:00
204,307922,2026-18062,E Learning Cart Package,2024,DepEd (DCP),46,0,1,Functional,"Router, External Hard Drive, Head Set, Mouse, USB Flash Drive",2026-04-07 02:51:22.680667+00:00
185,342600,2026-20113,E-Textbooks 2019-03,2021,DepEd (DCP),0,50,0,Functional,,2026-04-07 01:52:21.071956+00:00
174,309211,2026-06572,Batch 2018,2018,DepEd (DCP),10,15,5,Non-Functional,,2026-04-07 01:29:20.590314+00:00
3429,501208,2026-07498,TNE LT-CART,2024,DepEd (DCP),46,0,0,Functional,,2026-04-13 07:02:53.001591+00:00
7281,300631,2026-12520,G4-G6 ICT Package,2024,DepEd (DCP),46,0,0,Functional,Head phone,2026-04-21 04:48:17.757097+00:00
211,305943,2026-12041,Batch 2022-01,2022,DepEd (DCP),46,0,1,Functional,"Router, Storage Cart, External HDD",2026-04-07 02:59:32.073712+00:00
218,106764,2026-16524,Batch 2024,2024,DepEd (DCP),0,0,5,Functional,"Tv leg stand, external hard drive",2026-04-07 03:08:52.983369+00:00
219,301060,2026-16341,Batch 2023-01: eLearning ,2024,DepEd (DCP),46,0,1,Functional,,2026-04-07 03:15:07.096899+00:00
220,301060,2026-16341,Batch 2019-02,2020,DepEd (DCP),51,0,0,Functional,,2026-04-07 03:15:07.103248+00:00
221,301060,2026-16341,Batch 2019-03,2020,DepEd (DCP),1,50,0,Non-Functional,,2026-04-07 03:15:07.109572+00:00
223,500454,2026-43349,Batch 2022,2024,DepEd (DCP),46,0,1,Functional,"Headphones, wireless mouse, touch pad, TP link router, bags per Laptop ",2026-04-07 03:17:30.208697+00:00
224,300562,2026-11879,DCP Package 2022,2022,DepEd (DCP),46,0,1,Functional,,2026-04-07 03:17:55.498295+00:00
225,307917,2026-17941,BATCH 2022,2024,DepEd (DCP),46,0,1,Functional,,2026-04-07 03:19:10.055473+00:00
226,307903,2026-18092,Batch 2019-03,2020,DepEd (DCP),1,50,0,Functional,,2026-04-07 03:19:33.639679+00:00
228,305601,2026-10168,Batch 2019,2019,DepEd (DCP),1,50,0,Functional,50 Headset and 1 Wireless Router,2026-04-07 03:25:26.739496+00:00
229,305601,2026-10168,Batch 2020-01,2024,DepEd (DCP),46,0,1,Functional,with 2 Router and 1 External Hard Drive,2026-04-07 03:25:26.744159+00:00
230,301263,2026-18021,Batch (E- Learning Cart Package),2024,DepEd (DCP),46,0,1,Functional,"Wireless Mouse,Laptop Bag,Charging Cart,wireless router,",2026-04-07 03:27:31.038404+00:00
237,108146,2026-17822,Batch 2019-01:G4-6 ICT Package,2021,DepEd (DCP),1,50,1,Functional,"Router, inkjet printer, charging cart",2026-04-07 03:30:22.525676+00:00
234,300007,2026-07635,2024,2024,DepEd (DCP),46,0,1,Functional,,2026-04-07 03:29:17.001611+00:00
235,300007,2026-07635,2019,2019,DepEd (DCP),2,50,2,Functional,50 PHASEOUT,2026-04-07 03:29:17.005570+00:00
479,304365,2026-42813,Batch 2022,2024,DepEd (DCP),92,0,2,Functional,Dongle of some mouse are not functional,2026-04-07 07:42:49.414347+00:00
342,117452,2026-30181,40,2025,DepEd (DCP),46,0,1,Functional,"To link Archer,HDMI cable",2026-04-07 06:04:12.228398+00:00
246,300568,2026-11790,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,"router, external hard drive, flash drive",2026-04-07 03:38:08.258550+00:00
247,300568,2026-11790,batch 2019-03,2021,DepEd (DCP),0,50,0,Non-Functional,"mouse, headset, cd writer, router, cart",2026-04-07 03:38:08.263797+00:00
248,502554,2026-06503,29,2022,DepEd (DCP),45,41,1,Functional,,2026-04-07 03:39:03.683697+00:00
1077,315315,2026-40681,Batch 2024-01,2024,DepEd (DCP),46,0,1,Functional,"Headset, wireless mouse, external hard drive, laptop bag, mouse pad, charging cart, router, tv keg stand, remote control with battery, wall mounting kit, HDMI cable, and USB",2026-04-08 14:15:48.361338+00:00
317,304500,2026-44290,22,2023,DepEd (DCP),45,0,1,Functional,,2026-04-07 05:36:41.269324+00:00
251,342345,2026-18118,Batch2024-01 E-Learning Cart Package,2024,DepEd (DCP),46,0,1,Functional,"2 Router
1 external hard drive
46 bag pack, 46 mouse & mouse pad, 46 headphone",2026-04-07 03:43:13.022495+00:00
252,342345,2026-18118,Batch2019-03 E-textbooks,2019,DepEd (DCP),1,50,0,Functional,"1 router, 2 charging cart, 1 laptop(unserviceable), 2 e-tablet(unserviceable-no power), 48 detachable keyboard(unserviceable)",2026-04-07 03:43:13.027738+00:00
1978,305315,2026-06886,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,"with ASUS Backpack, Wireless Mouse",2026-04-10 05:10:59.635906+00:00
658,108468,2026-18193,DCP-2024-03-LAPTOP FOR TEACHING,2024,DepEd (DCP),5,0,0,Functional,,2026-04-07 13:44:39.765273+00:00
496,307808,2026-17881,Batch 44,2021,DepEd (DCP),1,50,0,Functional,,2026-04-07 07:50:31.168554+00:00
503,129249,2026-42467,G4-G6 ICT PACKAGE,2020,DepEd (DCP),1,50,1,Functional,"MODEM ROUTER, MOUSE, KEYBOARD",2026-04-07 07:53:37.810676+00:00
504,129249,2026-42467,DCP2023,2023,DepEd (DCP),5,0,0,Non-Functional,,2026-04-07 07:53:37.815426+00:00
505,129249,2026-42467,DCP BATCH 40,2018,DepEd (DCP),1,0,0,Non-Functional,"PROJECTOR, SPEAKER",2026-04-07 07:53:37.819932+00:00
263,302834,2026-31361,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,"Carrying Bags, 46 Wireless Mouse with Bluetooth with Mousepad, Goodness Headset, 1 Flashdrive, 1 Wireless Router, 1 Lacie Rugged Mini External HDD 5tb",2026-04-07 03:49:35.000691+00:00
167,502266,2026-12808,Batch 2023:01,2024,DepEd (DCP),46,0,0,Functional,,2026-04-06 13:48:23.561517+00:00
335,108075,2026-17734,2019-dcp for g4-6,2019,DepEd (DCP),1,50,0,Functional,,2026-04-07 05:52:08.281572+00:00
1154,118048,2026-30977,Batch 2024-03: Laptop for Teaching Package,2024,DepEd (DCP),5,0,0,Functional,"Wireless mouse, Headset",2026-04-09 01:29:56.293282+00:00
271,100059,2026-07691,BATCH 2023-03,2024,DepEd (DCP),45,0,0,Functional,,2026-04-07 04:05:07.102559+00:00
268,305627,2026-06463,Batch 44,2024,DepEd (DCP),46,0,8,Functional,,2026-04-07 03:57:48.145765+00:00
5137,501637,2026-16249,DCP E-CLASSROOM PACKAGE 2023,2024,DepEd (DCP),92,0,1,Functional,"HEADPHONES, MOUSE, BAGS, CHARGERS",2026-04-15 00:52:44.715826+00:00
275,301764,2026-06480,Batch 2023-01,2024,DepEd (DCP),92,0,2,Functional,"routers, wireless mouse, headset",2026-04-07 04:20:06.147507+00:00
1120,304310,2026-42474,eLearning Cart Package,2024,DepEd (DCP),46,0,0,Functional,"bag, mouse, mouse pad",2026-04-08 22:19:51.391060+00:00
646,500089,2026-11398,Batch 45,2022,DepEd (DCP),46,0,0,Functional,,2026-04-07 12:59:26.198636+00:00
1982,128754,2026-41997,2018-1,2019,DepEd (DCP),1,50,0,Functional,,2026-04-10 05:15:33.621072+00:00
3473,500232,2026-34209,2022-01,2024,DepEd (DCP),46,0,1,Functional,,2026-04-13 07:18:56.467825+00:00
273,136892,2026-07584,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,"TP-Link Archer AX12 AX1500 WI-FI 6 ROUTER
TPNE LT-CART-24AC-1 CHARGING CART
SEAGATE LACIE RUGGED MINI 5TB",2026-04-07 04:17:01.566503+00:00
281,300551,2026-12130,DCP BATCH 2024,2024,DepEd (DCP),46,5,10,Functional,,2026-04-07 04:52:21.033578+00:00
3430,501208,2026-07498,TNE LT-CART,2024,DepEd (DCP),46,0,0,Functional,,2026-04-13 07:02:53.012441+00:00
530,300508,2026-12202,Batch 22- 01,2024,DepEd (DCP),46,0,1,Non-Functional,"2Routers, Hard drive 1 , flash drive 1",2026-04-07 08:17:19.499943+00:00
345,301159,2026-19996,2022-01,2022,DepEd (DCP),46,0,0,Functional,,2026-04-07 06:09:45.456479+00:00
346,300603,2026-12093,Batch 1,2024,DepEd (DCP),46,0,0,Functional,,2026-04-07 06:11:26.054906+00:00
347,300603,2026-12093,Batch 2,2024,DepEd (DCP),46,0,0,Functional,,2026-04-07 06:11:26.064913+00:00
352,300504,2026-12177,Batch 44,2024,DepEd (DCP),94,47,2,Functional,eCart Package is Functional,2026-04-07 06:16:54.553990+00:00
103,999030,999030,Batch 12,2021,DepEd (DCP),2,3,2,Functional,,2026-04-06 05:33:20.446269+00:00
290,305296,2026-06871,Batch 44,2023,DepEd (DCP),92,1,2,Functional,,2026-04-07 05:07:25.452001+00:00
2029,304265,2026-42180,Batch 2023-01: E-Learning Cart Package,2023,DepEd (DCP),46,0,1,Functional,,2026-04-10 05:55:55.980257+00:00
2042,303812,2026-21548,Batch 44,2022,DepEd (DCP),46,0,1,Functional,,2026-04-10 06:00:49.115208+00:00
2064,302088,2026-24954,Batch 2019-03:Etextbooks,2020,DepEd (DCP),50,0,0,Functional,"Wireless mouse, headset, carrying bag, wireless router",2026-04-10 06:14:59.270352+00:00
539,300416,2026-10506,BATCH 2023-01,2024,DepEd (DCP),56,0,1,Functional,,2026-04-07 08:31:28.771586+00:00
540,300416,2026-10506,BATCH 2022-01,2024,DepEd (DCP),46,0,1,Functional,,2026-04-07 08:31:28.777745+00:00
541,300416,2026-10506,BATCH 2019-03,2021,DepEd (DCP),0,50,0,Functional,,2026-04-07 08:31:28.783911+00:00
640,342219,2026-20323,Batch 44,2024,DepEd (DCP),50,0,1,Functional,,2026-04-07 12:35:45.980353+00:00
500,301632,2026-05091,Batch 2018,2018,DepEd (DCP),1,50,0,Non-Functional,,2026-04-07 07:53:27.353217+00:00
312,300555,2026-11679,BATCH 2024 E-CART PACKAGE,2024,DepEd (DCP),46,0,0,Functional,COMPLETE,2026-04-07 05:30:29.980963+00:00
543,301166,2026-17587,2022-01,2022,DepEd (DCP),46,23,1,Functional,Some accessories are broken already,2026-04-07 08:34:12.634278+00:00
545,342285,2026-20263,Batch 2,2022,DepEd (DCP),0,49,0,Non-Functional,,2026-04-07 08:35:30.483992+00:00
546,342285,2026-20263,Batch 2024-01,2024,DepEd (DCP),46,0,0,Functional,,2026-04-07 08:35:30.488451+00:00
7393,316802,2026-45302,DEPED PACKAGE,2020,DepEd (DCP),0,44,1,Functional,,2026-04-22 00:02:11.260104+00:00
359,320821,2026-07965,DCP E-Learning Cart Package 2024,2024,DepEd (DCP),46,0,0,Functional,,2026-04-07 06:22:46.139466+00:00
309,500069,2026-11995,2024,2024,DepEd (DCP),46,0,1,Functional,,2026-04-07 05:13:08.883581+00:00
360,320821,2026-07965,DCP Package Batch 1,2019,DepEd (DCP),0,46,0,Non-Functional,25 Working,2026-04-07 06:22:46.144790+00:00
361,300375,2026-10167,Batch 2022-01,2024,DepEd (DCP),0,46,1,Functional,"2 routers, 2 storage cart,1 external drive",2026-04-07 06:26:59.043213+00:00
1049,303304,2026-34229,44,2025,DepEd (DCP),51,0,1,Functional,"Headphones, chargers, pieces of mouse",2026-04-08 13:37:24.393645+00:00
480,301244,2026-17988,Batch 2022-01: E-Learning Package,2024,DepEd (DCP),46,0,0,Functional,"Router, External Hard Drive",2026-04-07 07:43:05.838723+00:00
630,500684,2026-39666,2022-01,2024,DepEd (DCP),46,0,0,Functional,,2026-04-07 11:44:25.100530+00:00
369,341409,2026-43030,2022-01,2022,DepEd (DCP),46,0,1,Functional,"Wire routers, Charging Charts, External HDD",2026-04-07 06:33:02.131018+00:00
370,341409,2026-43030,2024-01,2024,DepEd (DCP),5,0,0,Functional,,2026-04-07 06:33:02.137408+00:00
631,500684,2026-39666,2024-01,2024,DepEd (DCP),46,0,1,Functional,"1 unit external hdd silicon power armor, 2 unit pixpro charging station max, 2 unit TP Link Wireless Router",2026-04-07 11:44:25.105527+00:00
372,316211,2026-42986,DCP2022 e-Learning Cart Package and smart TV Package,2022,DepEd (DCP),46,0,1,Functional,"Headphones, Mouse and Laptop Bags",2026-04-07 06:35:40.810550+00:00
1056,301028,2026-15987,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,"ASUS B1400CB NOTEBOOK
INTEL CORE 15-1235U/8GB DDR4 ON BOARD/512GB M.2. 2280 NVME PCIE
4.0 SSD/WIN 11 PRO EDUC/14"" FHD
ASUS BACKPACK
RAPOO M160 WIRELESS MOUSE
PROMATE LA BOCA HEADPHONE BLACK
USB RECOVERY FLASH DRIVE
XITRIX XPN-DSA5850 58INCH SMART TV 3.0 USB WI ACCESSORIES
BASIC FULL MOTION TV MOUNT
MEDIA PLAYER/ PORTABLE STORAGE MOUNTING KIT (SMALL)
TP-LINK ARCHER AX12 AX1500 WIFI 6 ROUTER TNE LT-CART-24AC-1 CHARGING CART
SEAGATE LACIE MINI STB STJ15000400 EXTERNAL DRIVE",2026-04-08 13:46:44.521811+00:00
497,301173,2026-17677,2019-03,2019,DepEd (DCP),0,25,0,Functional,,2026-04-07 07:50:57.378872+00:00
498,301173,2026-17677,2019-03 ,2019,DepEd (DCP),0,25,1,Functional,,2026-04-07 07:50:57.383095+00:00
378,300010,2026-07709,Batch 2023-01,2024,DepEd (DCP),46,0,1,Functional,,2026-04-07 06:38:14.037517+00:00
641,301203,2026-17811,2023,2023,DepEd (DCP),46,0,1,Functional,,2026-04-07 12:37:14.237094+00:00
380,999067,999067,Batch 44,2016,DepEd (DCP),0,25,0,Functional,None,2026-04-07 06:41:42.502473+00:00
383,305694,2026-06605,E-learning Package,2024,DepEd (DCP),46,0,1,Functional,"routers, headphones, mouse, ext. drive",2026-04-07 06:44:56.273352+00:00
428,302867,2026-31465,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,"Headphones, Wireless Mouse, USB Flash drive, Router",2026-04-07 07:14:17.926924+00:00
651,500343,2026-07966,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,"charging-2, router-2",2026-04-07 13:23:08.558414+00:00
652,501319,2026-12158,Batch 1,2024,DepEd (DCP),46,5,1,Functional,"Router,storage cart,external hard drive,flash drive,hdmi,tv leg stand,mouse,headset,bag,remote",2026-04-07 13:23:32.031837+00:00
647,300522,2026-11503,DCP 2024-eLC-L2-SV-0041,2024,DepEd (DCP),46,1,1,Functional,Working,2026-04-07 13:03:21.490414+00:00
397,110388,2026-05082,DCP LOT 2022,2023,DepEd (DCP),4,0,0,Functional,,2026-04-07 06:51:21.654819+00:00
3579,302672,2026-29620,35,2024,DepEd (DCP),95,0,0,Functional,Headphones,2026-04-13 08:02:40.932057+00:00
