school_id,ict_desktops_func,ict_desktops_teaching,ict_desktops_total,ict_desktops_working,ict_laptops_func,ict_laptops_teaching,ict_laptops_total,ict_laptops_working,ict_printers_cond,ict_printers_func,ict_printers_total,ict_projectors_cond,ict_projectors_func,ict_projectors_total,ict_smart_tvs_cond,ict_smart_tvs_func,ict_smart_tvs_total,ict_tablets_func,ict_tablets_teaching,ict_tablets_total,ict_tablets_working,util_confirm_no_grid,util_confirm_no_grid_text,util_confirm_no_wired,util_confirm_no_wired_text,util_has_solar_or_gen,util_utility_electricity,util_utility_internet_funder,util_utility_internet_type,util_utility_internet_yesno
118472,0,0,0,0,,1,1,1,,1,1,,1,1,,2,2,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
117819,0,0,0,0,,9,12,9,,10,10,,0,0,,12,12,0,0,0,0,False,,False,Confirm,False,Grid supply,DepEd Funded (DCP),Satellite,True
105084,0,0,0,0,,5,5,3,,3,3,,0,1,,0,1,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
180036,0,0,0,0,,1,2,2,,5,7,,1,1,,0,0,0,0,0,0,False,,False,Confirm,False,Grid supply,,,False
309718,,1,2,2,0,0,0,0,,4,5,,1,1,,4,8,0,0,0,0,False,,False,confirm,False,Grid supply,,,False
135014,0,0,0,0,,5,5,5,,5,9,,1,1,,5,5,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
111341,0,0,0,0,,5,6,6,,13,43,,1,1,,10,20,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
116317,0,0,0,0,,5,7,6,,4,7,,1,1,,6,8,0,0,0,0,False,,False,confirm,False,Grid supply,School MOOE,Wireless (4G/5G/Radio),True
303068,,0,15,15,,5,51,45,,5,6,,0,0,,12,12,,0,10,10,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
137183,0,0,0,0,0,0,0,0,,1,2,,0,0,,0,0,0,0,0,0,False,,False,Confirm,False,Grid & Off-grid supply,DepEd Funded (DCP),Satellite,True
114508,,0,4,4,,1,5,5,,17,17,,1,1,,20,20,,1,3,3,False,,False,,False,Grid supply,DepEd Funded (DCP),Wired (Fiber/DSL/Cable),True
122512,0,0,0,0,,5,5,5,,8,8,,0,0,,5,5,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
131316,0,0,0,0,,10,52,52,,11,11,,0,0,,14,14,,10,25,25,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
128913,0,0,0,0,,4,5,5,,10,10,,1,3,,8,8,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
128659,0,0,0,0,,6,6,6,,17,17,,0,0,,5,5,0,0,0,0,False,,False,,False,Grid & Off-grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
