Project_ID,IPC,Has_Photos,Has_Docs,School_Name,Project_Name,Division,Region
1009648,INF-02-2026-00001,YES,NO,Manaul National High School,"REPAIR OF CLASSROOM AT MANAUL NATIONAL HIGH SCHOOL, MANSALAY, ORIENTAL MINDORO",ORIENTAL MINDORO,MIMAROPA
1009662,INF-04-2024-01019,YES,YES,Pudtol Vocational High School,Construction of School Clinic,APAYAO,CAR
1009663,INF-02-2026-00002,YES,NO,Pag-asa NHS,"REPAIR OF CLASSROOM AT PAG-ASANATIONAL HIGH SCHOOL, BANSUD, ORIENTAL MINDORO ",ORIENTAL MINDORO,MIMAROPA
1009664,INF-04-2024-01004,NO,YES,Butao Integrated School,"Construction of Handwashing Facility,Comfort Room, and clinic",APAYAO,CAR
1009666,INF-05-2024-00338,YES,YES,Manukan East Central School,Repair /Rehabilitation of Gabaldon Building - H.E. Building,ZAMBOANGA DEL NORTE,REGION IX
1009678,INF-04-2024-00758,YES,NO,BANTAY NATIONAL HIGH SCHOOL,Construction of School Clinic,TABUK CITY,CAR
1009681,INF-02-2025-01420,YES,YES,Masablang Elementary School,Repair / Rehabilitation of Classrooms,TABUK CITY,CAR
1009704,INF-02-2025-02731,YES,NO,Tagaskan ES,"REPAIR OF CLASSROOMS AT TAGASKAN ES, ROXAS, ORIENTAL MINDORO",ORIENTAL MINDORO,MIMAROPA
1009707,INF-10-2025-01435,YES,YES,Pascuala P. Gabia Memorial School,"REPAIR OF 6 CLASSROOMS AT PASCUALA P. GABIA MEMORIAL SCHOOL, BONGABONG, ORIENTAL MINDORO",ORIENTAL MINDORO,MIMAROPA
1009724,INF-12-2024-01716,NO,YES,Talalora National High School,Upgrading of Electrical System (Overhead System),SAMAR (WESTERN SAMAR),REGION VIII
1009736,INF-04-2024-01228,NO,YES,Liloy National High School,Construction of School Clinic,ZAMBOANGA DEL NORTE,REGION IX
1009742,INF-02-2024-02036,NO,YES,Rivera Village Elementary School,Repair of Classrooms,PASAY CITY,NCR
1009744,INF-01-2026-01176,YES,NO,Cocob ES,CONSTRUCTION OF 1 STOREY 2 CLASSROOMS,ZAMBOANGA DEL NORTE,REGION IX
1009773,INF-02-2024-02203,NO,YES,Dawan NHS,Repair / Rehabilitation of Classrooms,MATI CITY,REGION XI
1009777,INF-04-2024-01034,YES,YES,Pasay City West HS,Repair / Rehabilitation of Health and Sanitation Facilities,PASAY CITY,NCR
1009785,INF-02-2025-02390,NO,YES,Cambayaon ES,Repair / Rehabilitation of Classrooms,BOHOL,REGION VII
1009787,INF-02-2024-02179,NO,YES,Canawa ES,Repair of Classrooms,BOHOL,REGION VII
1009799,INF-07-2024-00126,NO,YES,San Juan South Central School,"PROPOSED CONVERSION OF CLASSROOMS INTO INCLUSIVE LEARNING RESOURCE CENTER
 (REPAIR/REHABILITATION OF 3 BUILDINGS - 5 CLASSROOMS)",ILOCOS SUR,REGION I
1009816,INF-01-2026-00154,NO,YES,Vigan West National High School,"Construction of 4-Storey 16 C/L  and  1-Storey 2C/L School Building, Vigan National Highschool West, Vigan City, Ilocos Sur With Bundled School Furniture",VIGAN CITY,REGION I
1009993,INF-04-2025-00002,YES,YES,Antequera Central Elementary School,1 STOREY BUILDING,BOHOL,REGION VII
1010037,INF-11-2024-01597,NO,YES,Tabug ES,1STY2CL,BATAC CITY,REGION I
1010038,INF-11-2024-01629,NO,YES,Baay ES,1STY3CL,BATAC CITY,REGION I
1010039,INF-11-2024-00139,NO,YES,Baoa ES,Repair of Classrooms,BATAC CITY,REGION I
1010040,INF-11-2024-00323,NO,YES,Batac National High School,Repair of Classrooms,BATAC CITY,REGION I
1010042,INF-02-2024-00677,NO,YES,Benigno Macadaeg Mem. ES,Repair of Classrooms,BATAC CITY,REGION I
