Project_ID,IPC,Has_Photos,Has_Docs,School_Name,Project_Name,Division,Region
1108214,INF-03-2024-00338,YES,NO,Minarog Integrated School,"CONSTRUCTION OF 1STY2CL & 1STY3CL (WITH TOILET) WITH PROVISION OF RAINWATER COLLECTOR, SCHOOL FURNITURE, SOLAR PV ENERGY SYSTEM, WATER SYSTEM AND FLOOD MARKER",SAMAR (WESTERN SAMAR),REGION VIII
1108250,INF-02-2025-00582,YES,NO,Gawidan Elementary School,Repair / Rehabilitation of Classrooms,TABUK CITY,CAR
1108268,INF-10-2017-01085,NO,YES,Aurora Nhs,CONSTRUCTION OF 1STY2CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
1108269,INF-01-2024-01677,NO,YES,Salug Nhs,CONSTRUCTION OF 1STY2CL AT SALUG NHS,AGUSAN DEL SUR,CARAGA
1108273,INF-10-2017-01079,NO,YES,Corpuz NHS,CONSTRUCTION OF 1STY2CL AT CORPUZ NHS,AGUSAN DEL SUR,CARAGA
1108277,INF-10-2017-01080,NO,YES,Nato National High School,CONSTRUCTION OF 1STY2CL AT NATO NHS,AGUSAN DEL SUR,CARAGA
1108292,INF-01-2016-04429,NO,YES,Cecilia Nhs,CONSTRUCTION OF 2STY6CL AT CECILIA NHS,AGUSAN DEL SUR,CARAGA
1108293,INF-10-2017-01001,NO,YES,Salvacion NHS,CONSTRUCTION OF SHS UNIQUE WORKSHOP (7X22.5) AT SALVACION NHS,AGUSAN DEL SUR,CARAGA
1108298,INF-10-2016-02707,NO,YES,Esperanza National High School,CONSTRUCTION OF 3STY15CL-2STY12CL-SHS UNIQUE WORKSHOP (7X22.5) AT ESPERANZA NHS,AGUSAN DEL SUR,CARAGA
1108299,INF-10-2016-02699,NO,YES,Bunawan National High School,CONSTRUCTION OF 3STY12CL-3STY6CL-SHS UNIQUE WORKSHOP (7X22.5) AT BUNAWAN NHS,AGUSAN DEL SUR,CARAGA
1108302,INF-01-2016-05345,NO,YES,West Prosperidad Nhs,CONSTRUCTION OF UNIQUE WORKSHOP (7X22.5) AT WEST PROSPERIDAD NHS,AGUSAN DEL SUR,CARAGA
1108306,INF-01-2015-05280,NO,YES,Anislagan NHS,CONSTRUCTION OF 2STY4CL AT ANISLAGAN NHS,AGUSAN DEL SUR,CARAGA
1108310,INF-10-2015-05925,NO,YES,Aurora NHS,CONSTRUCTION OF 1STY2CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
1108314,INF-01-2015-06437,NO,YES,Bayugan II National High School,CONSTRUCTION OF 1STY2CL AT BAYUGAN II NHS,AGUSAN DEL SUR,CARAGA
1108318,INF-01-2015-05288,NO,YES,Bayugan III NHS,CONSTRUCTION OF 2STY6CL AT BAYUGAN III NHS,AGUSAN DEL SUR,CARAGA
1108322,INF-01-2015-06458,NO,YES,Buena Suerte NHS,CONSTRUCTION OF 1STY2CL AT BUENASUERTE NHS,AGUSAN DEL SUR,CARAGA
1108326,INF-01-2015-05256,NO,YES,Guadalupe NHS,CONSTRUCTION OF 2STY6CL AT GUADALUPE NHS,AGUSAN DEL SUR,CARAGA
1108327,INF-01-2025-01797,YES,YES,Dr. Vicente F. Gustilo Memorial NHS,"CONSTRUCTION OF SCHOOL BUILDING DR. VICENTE F. GUSTILO MEMORIAL NATIONAL HIGH SCHOOL, BARANGAY ZONE II, CADIZ CITY, NEGROS OCCIDENTAL",CADIZ CITY,NIR
1108331,INF-01-2015-06444,NO,YES,Kapatungan NHS,CONSTRUCTION OF 1STY2CL AT KAPATUNGAN NHS,AGUSAN DEL SUR,CARAGA
1108334,INF-10-2015-06818,NO,YES,Kasapa NHS,CONSTRUCTION OF 1STY2CL AT KASAPA NHS,AGUSAN DEL SUR,CARAGA
1108337,INF-10-2015-06756,NO,YES,La Fortuna NHS,CONSTRUCTION OF 2STY6CL AT LA FORTUNA NHS,AGUSAN DEL SUR,CARAGA
1108342,INF-10-2015-06797,NO,YES,La Paz NHS,CONSTRUCTION OF 2UNITS-1STY3CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
1108346,INF-10-2015-05864,NO,YES,Laminga NHS,CONSTRUCTION OF 2UNITS-1STY3CL AT LAMINGA NHS,AGUSAN DEL SUR,CARAGA
1108349,INF-01-2015-05262,NO,YES,Libertad NHS,CONSTRUCTION OF 2STY6CL AT LIBERTAD NHS,AGUSAN DEL SUR,CARAGA
1108354,INF-10-2015-05926,NO,YES,Lucena NHS,CONSTRUCTION OF 2STY6CL AT LUCENA NHS,AGUSAN DEL SUR,CARAGA
1108355,INF-01-2026-00924,NO,YES,Mabusao Es,"Construction of two (2) Classrooms in Mabusao Elementary School, Barangay Mabusao, Ibajay, Aklan With Bundled School Furniture",AKLAN,REGION VI
1108356,INF-02-2024-01814,YES,YES,J. Hector Lacson Elementary School,Repair of Classrooms,TACURONG CITY,REGION XII
1108357,INF-02-2024-02024,YES,YES,San Rafael ES,Repair of Classrooms,TACURONG CITY,REGION XII
1108358,INF-02-2024-01904,YES,YES,Bagacay Elementary School,Repair of Classrooms,PASSI CITY,REGION VI
1108359,INF-02-2024-01966,YES,YES,BATU ELEMENTARY SCHOOL,Repair of Classrooms,PASSI CITY,REGION VI
1108360,INF-10-2018-01375,YES,YES,Efraim M. Santibanez National High School,,PASSI CITY,REGION VI
1108361,,NO,YES,Tigbinan National High School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108362,,NO,YES,Sarah Jane Ferrer High School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108363,,NO,YES,San Vicente Central School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108364,,NO,YES,S. Delos Santos Elementary School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108365,,NO,YES,Quinapaguian Elementary School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108366,,NO,YES,Patag Ibaba Elementary School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108367,,NO,YES,Sarah Jane Ferrer High School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108368,,NO,YES,Mandazo Elementary School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108369,,NO,YES,Larap Elementary School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108370,,NO,YES,Calabaca Integrated School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108371,,NO,YES,Colasi Integrated School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108372,,NO,YES,Calabaca Integrated School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108373,,NO,YES,Calabaca Integrated School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108374,,NO,YES,Colasi Integrated School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
1108375,,NO,YES,Calabaca Integrated School,Construction and Installation of Learning Continuity Spaces,Camarines Norte,Region V
